"test_name","code","root_cause","additional_notes"
"SNOW-3347463:dbx_notebook_run","dbutils.notebook.run(""./child_notebook"", timeout_seconds=300, arguments={""param1"": ""value1""})","dbutils.notebook.run() executes another Databricks notebook as a child job. Not available in Snowpark Connect — there is no notebook orchestration API. Replace with: 1) Snowflake Tasks for scheduling, 2) Snowflake stored procedures for modular code, 3) Airflow/external orchestrator for complex DAGs. Pass parameters via session variables or stored procedure arguments.",""
"SNOW-3347463:dbx_notebook_exit","dbutils.notebook.exit(""SUCCESS"")
result = dbutils.notebook.run(""child"", 60)
if result != ""SUCCESS"": raise Exception(""Child failed"")","dbutils.notebook.exit() returns a string value to the parent notebook. No Snowpark Connect equivalent. In Snowflake, use stored procedure RETURN values for inter-procedure communication, or write status to a control table.",""
"SNOW-3347463:dbx_widgets_text","dbutils.widgets.text(""input_date"", ""2024-01-01"", ""Enter date"")
dbutils.widgets.get(""input_date"")
dbutils.widgets.dropdown(""env"", ""dev"", [""dev"", ""staging"", ""prod""])","dbutils.widgets API creates interactive notebook parameters in Databricks. Not available in Snowpark Connect. Replace with: 1) Stored procedure parameters, 2) Session variables via session.sql(""SET my_var = 'value'""), 3) Streamlit app widgets for interactive use cases.",""
"SNOW-3347463:dbx_widgets_remove","dbutils.widgets.remove(""input_date"")
dbutils.widgets.removeAll()","dbutils.widgets.remove/removeAll() manages notebook widget lifecycle. Not applicable in Snowpark Connect. Simply remove these calls — use stored procedure parameters or session variables instead of widget-based parameterization.",""
"SNOW-3347463:dbx_fs_ls","dbutils.fs.ls(""/mnt/data/raw/"")
dbutils.fs.head(""/mnt/data/file.csv"", maxBytes=1000)
dbutils.fs.mkdirs(""/mnt/data/output/"")","dbutils.fs provides a filesystem abstraction over DBFS/cloud storage. Not available in Snowpark Connect. Replace with: 1) Snowflake stages (LIST @stage, GET @stage), 2) session.file.get/put for file operations, 3) For directory listing: session.sql(""LIST @my_stage/path/"").",""
"SNOW-3347463:dbx_fs_cp_mv_rm","dbutils.fs.cp(""/mnt/source/file.parquet"", ""/mnt/dest/"", recurse=True)
dbutils.fs.mv(""/mnt/old/data"", ""/mnt/new/data"")
dbutils.fs.rm(""/mnt/temp/"", recurse=True)","dbutils.fs.cp/mv/rm for file operations on DBFS. Replace with Snowflake stage operations: COPY INTO for loading, PUT/GET for file transfer, REMOVE @stage/path for deletion. For cross-stage copies: COPY INTO @dest_stage FROM @source_stage.",""
"SNOW-3347463:dbx_fs_mount","dbutils.fs.mount(
  source=""wasbs://container@account.blob.core.windows.net"",
  mount_point=""/mnt/my_data"",
  extra_configs={""fs.azure.account.key.account.blob.core.windows.net"": dbutils.secrets.get(""scope"", ""key"")})
dbutils.fs.unmount(""/mnt/my_data"")","dbutils.fs.mount/unmount attaches cloud storage as DBFS mount points. Not available in Snowpark Connect. Replace with Snowflake external stages: CREATE STAGE my_stage URL='azure://...' CREDENTIALS=(AZURE_SAS_TOKEN='...'). External stages provide equivalent cloud storage access without mount semantics.",""
"SNOW-3347463:dbx_secrets","secret_value = dbutils.secrets.get(scope=""my_scope"", key=""my_key"")
dbutils.secrets.list(scope=""my_scope"")
dbutils.secrets.listScopes()","dbutils.secrets provides Databricks secret management. Not available in Snowpark Connect. Replace with: 1) Snowflake Secrets (CREATE SECRET), 2) External secrets via EXTERNAL ACCESS INTEGRATION, 3) For connection strings: use Snowflake connection parameters. Access via session.sql(""SELECT SYSTEM$GET_SECRET('my_secret')"").",""
"SNOW-3347463:dbx_display_function","display(df)
display(df.groupBy(""category"").count().orderBy(""count"", ascending=False))
displayHTML(""<h1>Report</h1>"")","display() is Databricks' notebook-specific visualization function. Not available in Snowpark Connect. Replace with: 1) df.show() for console output, 2) df.toPandas() for pandas integration, 3) Streamlit st.dataframe() for interactive visualization. displayHTML() has no equivalent — use Streamlit for rich output.",""
"SNOW-3347463:dbx_magic_sql","# In Databricks notebooks:
%sql
SELECT * FROM my_database.my_table WHERE date > '2024-01-01'
%sql
DESCRIBE TABLE my_database.my_table","Databricks %sql magic command runs SQL directly in notebook cells. Not available in Python scripts or Snowpark Connect. Replace with session.sql(""SELECT * FROM my_table WHERE date > '2024-01-01'"").show() or session.sql(""DESCRIBE TABLE my_table"").collect(). Note Snowflake SQL dialect differences (e.g., DESCRIBE vs DESC).",""
