transaction_id,account_id,amount,transaction_type,transaction_date,merchant_category,description
TXN0001,ACC001,45.50,DEBIT,2023-01-05,GROCERIES,Grocery store purchase
TXN0002,ACC001,28.75,DEBIT,2023-01-12,DINING,Restaurant lunch
TXN0003,ACC001,120.00,DEBIT,2023-01-20,UTILITIES,Electric bill payment
TXN0004,ACC001,65.25,DEBIT,2023-02-03,GROCERIES,Weekly groceries
TXN0005,ACC001,15.99,DEBIT,2023-02-14,ENTERTAINMENT,Streaming subscription
TXN0006,ACC001,500.00,TRANSFER,2023-02-28,RETAIL,Online shopping transfer
TXN0007,ACC001,89.50,DEBIT,2023-03-10,DINING,Dinner with family
TXN0008,ACC001,200.00,DEBIT,2023-03-22,TRAVEL,Hotel booking
TXN0009,ACC001,55.00,DEBIT,2023-04-05,GROCERIES,Supermarket run
TXN0010,ACC001,1200.00,DEBIT,2023-04-18,TRAVEL,Flight tickets
TXN0011,ACC001,35.50,DEBIT,2023-05-02,DINING,Coffee shop
TXN0012,ACC001,78.25,DEBIT,2023-05-15,HEALTHCARE,Pharmacy purchase
TXN0013,ACC002,2500.00,CREDIT,2023-01-07,RETAIL,Salary deposit
TXN0014,ACC002,95.00,DEBIT,2023-01-19,GROCERIES,Monthly groceries
TXN0015,ACC002,450.00,DEBIT,2023-02-05,UTILITIES,Combined utilities
TXN0016,ACC002,180.00,DEBIT,2023-02-20,HEALTHCARE,Doctor visit
TXN0017,ACC002,320.00,DEBIT,2023-03-08,RETAIL,Clothing purchase
TXN0018,ACC002,75.50,DEBIT,2023-03-25,DINING,Anniversary dinner
TXN0019,ACC002,1800.00,CREDIT,2023-04-01,RETAIL,Tax refund
TXN0020,ACC002,42.00,DEBIT,2023-04-12,ENTERTAINMENT,Movie tickets
TXN0021,ACC002,110.00,DEBIT,2023-05-07,GROCERIES,Bulk grocery shop
TXN0022,ACC002,250.00,TRANSFER,2023-05-22,RETAIL,Transfer to checking
TXN0023,ACC003,3200.00,DEBIT,2023-01-08,TRAVEL,International flight
TXN0024,ACC003,145.75,DEBIT,2023-01-23,DINING,Business dinner
TXN0025,ACC003,890.00,DEBIT,2023-02-10,RETAIL,Electronics purchase
TXN0026,ACC003,55.25,DEBIT,2023-02-25,GROCERIES,Convenience store
TXN0027,ACC003,4200.00,DEBIT,2023-03-15,TRAVEL,Hotel for conference
TXN0028,ACC003,220.00,DEBIT,2023-03-28,ENTERTAINMENT,Concert tickets
TXN0029,ACC003,380.00,CREDIT,2023-04-10,RETAIL,Expense reimbursement
TXN0030,ACC003,95.50,DEBIT,2023-04-22,DINING,Team lunch
